GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
17359	Q8TDV5	AYDNCPUQJHOLMO-UHFFFAOYSA-N	%max	111	111	%	23214471					25010	Q8TDV5	BJEUXFJYQJIXBY-UHFFFAOYSA-N	IC50	92	92	nM	23628336
37698	Q8TDV5	CBBJTAPLBBGMKR-UHFFFAOYSA-N	%max	44	44	%	23214471					58349	Q8TDV5	DFBQZZNEWIABJW-FWJOYPJLSA-N	IC50	6	6	nM	23628336
47278	Q8TDV5	CPFBGJDRVUGVPO-UHFFFAOYSA-N	%max	139	139	%	23214471					109289	Q8TDV5	GZORJFSITDOUIP-UHFFFAOYSA-N	IC50	84	84	nM	18698756
48896	Q8TDV5	CRLRBSUPLCICHP-UHFFFAOYSA-N	%max	69	69	%	23214471					125733	Q8TDV5	HWNIBXURQQWAOI-UHFFFAOYSA-N	IC50	1	1	nM	23628336
49728	Q8TDV5	CSTJDIBPZQLFMP-UHFFFAOYSA-N	%max	62	62	%	23214471					141844	Q8TDV5	IUCMLAGMPMOAKS-UHFFFAOYSA-N	IC50	351	351	nM	23628336
54408	Q8TDV5	CZKSNHUNJRGKKQ-UHFFFAOYSA-N	%max	135	135	%	23214471					180423	Q8TDV5	KXEOMAICDAIJHB-UHFFFAOYSA-N	IC50	50	50	nM	18698756
64085	Q8TDV5	DMWMGLDPBZHNNM-UHFFFAOYSA-N	%max	70	70	%	23214471					191060	Q8TDV5	LMLPLWPZYOTASZ-MRXNPFEDSA-N	IC50	17	17	nM	23628336
72627	Q8TDV5	DZGOEXQGQAVUPK-UHFFFAOYSA-N	%max	138	138	%	23214471					196392	Q8TDV5	LUAODEFLCKGFIR-UHFFFAOYSA-N	IC50	9	9	nM	23628336
89649	Q8TDV5	FXJBECPXZWLMCN-UHFFFAOYSA-N	%max	97	97	%	23214471					296299	Q8TDV5	RHLKIVUEHCVGSH-UHFFFAOYSA-N	IC50	10	10	nM	23628336
95749	Q8TDV5	GGKASKLGELROGE-UHFFFAOYSA-N	%max	86	86	%	23214471					313128	Q8TDV5	SFQBQYYGWHSCJC-UHFFFAOYSA-N	IC50	8	8	nM	23628336
111149	Q8TDV5	HCCOWIAORWVUEZ-UHFFFAOYSA-N	%max	91	91	%	23214471					325076	Q8TDV5	SWOVRIONHBWLMV-OAHLLOKOSA-N	IC50	1	1	nM	23628336
144038	Q8TDV5	IXIXBJYVCHGFSQ-UHFFFAOYSA-N	%max	45	45	%	23214471					328189	Q8TDV5	TVBGGIHNBOONNF-UHFFFAOYSA-N	IC50	12	12	nM	23628336
144892	Q8TDV5	IYPJRHVRZMQIPD-UHFFFAOYSA-N	%max	119	119	%	23214471					335567	Q8TDV5	UFJZVFBUUIBTHV-CYBMUJFWSA-N	IC50	31	31	nM	23628336
163454	Q8TDV5	JYXXXSZLUUVWRR-UHFFFAOYSA-N	%max	121	121	%	23214471					340874	Q8TDV5	UNGZTVLHLKAKQE-OAHLLOKOSA-N	IC50	3	3	nM	23628336
187108	Q8TDV5	LGVAIDIPCQUDQU-UHFFFAOYSA-N	%max	105	105	%	23214471					366447	Q8TDV5	VXEVEBMHWZDNOF-UHFFFAOYSA-N	IC50	18	18	nM	23628336
216019	Q8TDV5	MWNOKVHJCIHTIX-UHFFFAOYSA-N	%max	154	154	%	23214471					375228	Q8TDV5	WJXYIQLAOGCMND-UHFFFAOYSA-N	IC50	500	500	nM	18698756
216368	Q8TDV5	MXBGPRDNTMKUEO-UHFFFAOYSA-N	%max	66	66	%	23214471					386323	Q8TDV5	WZLWVBSNBCURMT-UHFFFAOYSA-N	IC50	3	3	nM	23628336
217379	Q8TDV5	MYRKKFMBHGLXIA-UHFFFAOYSA-N	%max	103	103	%	23214471					392868	Q8TDV5	XIRILMVYBXFZOO-UHFFFAOYSA-N	IC50	25	25	nM	23628336
221118	Q8TDV5	NECPZPFCWSYRMX-UHFFFAOYSA-N	%max	28	28	%	23214471					402504	Q8TDV5	XWHMJALQCFBYAY-UHFFFAOYSA-N	IC50	4	4	nM	23628336
224546	Q8TDV5	NIYMQIABTQSNEX-UHFFFAOYSA-N	%max	128	128	%	23214471												
226386	Q8TDV5	NLNQDGOWAKZUFC-JGCGQSQUSA-N	%max	155	155	%	23214471												
226388	Q8TDV5	NLNQDGOWAKZUFC-YTTGMZPUSA-N	%max	122	122	%	23214471												
233989	Q8TDV5	NWTGCVSFINLOGB-UHFFFAOYSA-N	%max	74	74	%	23214471												
237199	Q8TDV5	OBQCWJUHMUOTDP-UHFFFAOYSA-N	%max	124	124	%	23214471												
240107	Q8TDV5	OFTFVGGLZNKFEV-UHFFFAOYSA-N	%max	92	92	%	23214471												
